Tên quán,Địa chỉ,Loại món
Bếp Mẹ Gạo,38B Trần Hữu Tước,Món Việt
Mr Mlem CS1 - Chuỗi Buffet Nướng Lẩu,34 Trần Hữu Tước,Buffet nướng/lẩu
Bún Đậu Anh Linh,86 Trần Hữu Tước,Bún đậu
Bún Mọc Hàng Lược - Trần Hữu Tước,P103 B1 TT Nam Đồng,Bún mọc
Bún Riêu Cá Trường Sa,110B Trần Hữu Tước,Bún riêu cá
Bà Tâm - Bún Chả Nem Cua Bể,113B1 Trần Hữu Tước,Bún chả
Tịnh Tâm Quán - Cơm Chay,43 Trần Hữu Tước,Cơm chay
Taiwan Food - Shop Online,135B Trần Hữu Tước,Đồ ăn Đài Loan
Phở Ngọc - Trần Hữu Tước,10 Ngõ 135B Trần Hữu Tước,Phở
Bún Riêu Ngon,115B1 Trần Hữu Tước,Bún riêu
Bún riêu Hoàn Hói,109 Trần Hữu Tước,Bún riêu
Quan koy,111B1 Trần Hữu Tước,Món Việt
Bún Mọc - 57 Hàng Lược,P103 B1 TT Nam Đồng,Bún mọc
Thái Hạnh - Huy Mai - Quán Ăn Vặt,3 Ngõ 4C Đặng Văn Ngữ,Ăn vặt
Cột Điện Quán - Bánh Mì Chảo,71 Đặng Văn Ngữ,Bánh mì chảo
Cạp - Seafood,101B D2 Đặng Văn Ngữ,Hải sản
Kều Xay Sạch - Ẩm Thực Hàn Quốc,101 D2 Đặng Văn Ngữ,Hàn Quốc
Jacky - Mì Vịt Quay & Cơm Xá Xíu,77 Đặng Văn Ngữ,Mì vịt quay
Quán Chị Nui - Ăn Vặt,Ngõ 4C Đặng Văn Ngữ,Ăn vặt
The Canteen - Food & Drinks,102 Ngõ 4C Đặng Văn Ngữ,Ăn vặt/món Việt
Chú Long Kim Liên - Cơm Việt Hàn,112D3 Ngõ 4C Đặng Văn Ngữ,Cơm Việt/Hàn
Lương Tâm Quán,112 D3 Ngõ 4C Đặng Văn Ngữ,Ăn vặt
Korean Kitchen - Bếp Hàn Online,102 Ngõ 4C Đặng Văn Ngữ,Hàn Quốc
Hẻm Trộn,111 D3 Ngõ 4C Đặng Văn Ngữ,Món trộn
Bếp Nhà 1986,106D1 Đặng Văn Ngữ,Món Việt
Thực Thần - Ẩm Thực Trung Hoa,108 Ngõ 4C Đặng Văn Ngữ,Trung Hoa
Ăn Vặt Hàn Quốc,3 Ngõ 4C Đặng Văn Ngữ,Ăn vặt Hàn Quốc
Quán Ăn Vặt Ngon Hà Nội,1 Ngõ 4C Đặng Văn Ngữ,Ăn vặt/cơm
Quán Chị Nui,10 Ngõ 4C Đặng Văn Ngữ,Ăn vặt
Bánh Cuốn Nóng Gia Truyền 77,102-D9 Đặng Văn Ngữ,Bánh cuốn
Brohotdog - Hotdog & Drink,103 D2 Đặng Văn Ngữ,Hotdog/ăn vặt
Bánh Mì Cô Hương,7A Đặng Văn Ngữ,Bánh mì
Bún Miến Ngan D2,105 D2 Đặng Văn Ngữ,Bún ngan
Xiăo Chì - Ăn Vặt Trung Hoa,109 Ngõ 4C Đặng Văn Ngữ,Ăn vặt Trung Hoa
Lẩu & Nướng Ăndeee,113D1 Đặng Văn Ngữ,Lẩu/nướng
Ốc Trang Hải Phòng,114 D1 Đặng Văn Ngữ,Ốc/hải sản
Gà Nướng Lu & Lẩu Thái X.Kiên,103 D1 Đặng Văn Ngữ,Gà/lẩu Thái
Nem Nướng Nha Trang,104D8 Đặng Văn Ngữ,Nem nướng
PS+ Nem Nướng Nha Trang - Bún Đậu,2C Đặng Văn Ngữ,Nem nướng/bún đậu
Quán Bún & Lẩu Nam Đồng,165 Nam Đồng,Bún/lẩu
Ánh Sáng - Phở Bò- Cơm Rang,109 Nam Đồng,Phở/cơm
Chảo Cười - Cơm Trên Chảo Nóng,103 Nam Đồng,Cơm/bánh mì chảo
Cơm Ngon Yến Vy,174 Ngõ Xã Đàn 2,Cơm
S Kitchen,162 Ngõ Xã Đàn 2,Cơm/mỳ/bún
Cô Lê - Nem Nướng Nha Trang,174 Ngõ Xã Đàn 2,Nem nướng
"Linh Nga - Cơm, Bún Chả, Bánh Cuốn",176 Ngõ Xã Đàn 2,Cơm/bún/bánh cuốn
Nhà hàng Car Park,156 Ngõ Xã Đàn 2,Món Việt
Chả Cá Gia Phú,16 Nam Đồng,Chả cá
